date,price,open,high,low,change
"Mar 25, 2022",2663.64,2663.64,2663.64,2663.64,0.0003
"Mar 24, 2022",2662.94,2662.94,2662.94,2662.94,0.0002
"Mar 23, 2022",2662.32,2662.32,2662.32,2662.32,0.0002
"Mar 22, 2022",2661.79,2661.79,2661.79,2661.79,-0.0004
"Mar 21, 2022",2662.75,2662.75,2662.75,2662.75,0.0006
"Mar 17, 2022",2661.03,2661.03,2661.03,2661.03,0.0005
"Mar 16, 2022",2659.57,2659.57,2659.57,2659.57,0.0001
"Mar 15, 2022",2659.39,2659.39,2659.39,2659.39,0.0009
"Mar 14, 2022",2656.99,2656.99,2656.99,2656.99,0.0005
"Mar 11, 2022",2655.57,2655.57,2655.57,2655.57,0.0002
"Mar 10, 2022",2654.93,2654.93,2654.93,2654.93,0.0005
"Mar 09, 2022",2653.53,2653.53,2653.53,2653.53,0
"Mar 08, 2022",2653.5,2653.5,2653.5,2653.5,-0.0001
"Mar 07, 2022",2653.83,2653.83,2653.83,2653.83,-0.0005
"Mar 04, 2022",2655.26,2655.26,2655.26,2655.26,0.0003
"Mar 03, 2022",2654.38,2654.38,2654.38,2654.38,-0.0005
"Mar 02, 2022",2655.72,2655.72,2655.72,2655.72,-0.0007
"Feb 28, 2022",2657.71,2657.71,2657.71,2657.71,-0.0001
"Feb 25, 2022",2658.02,2658.02,2658.02,2658.02,0.0001
"Feb 24, 2022",2657.87,2657.87,2657.87,2657.87,0
"Feb 23, 2022",2657.81,2657.81,2657.81,2657.81,0.0004
"Feb 22, 2022",2656.77,2656.77,2656.77,2656.77,-0.0001
"Feb 21, 2022",2657.1,2657.1,2657.1,2657.1,-0.0001
"Feb 18, 2022",2657.32,2657.32,2657.32,2657.32,0.0004
"Feb 17, 2022",2656.13,2656.13,2656.13,2656.13,0.0002
"Feb 16, 2022",2655.59,2655.59,2655.59,2655.59,0.0001
"Feb 15, 2022",2655.2,2655.2,2655.2,2655.2,-0.0001
"Feb 14, 2022",2655.55,2655.55,2655.55,2655.55,0.0008
"Feb 11, 2022",2653.47,2653.47,2653.47,2653.47,0.0008
"Feb 10, 2022",2651.37,2651.37,2651.37,2651.37,0.0023
"Feb 09, 2022",2645.26,2645.26,2645.26,2645.26,0.0002
"Feb 08, 2022",2644.75,2644.75,2644.75,2644.75,0.001
"Feb 04, 2022",2642.01,2642.01,2642.01,2642.01,-0.0001
"Feb 03, 2022",2642.38,2642.38,2642.38,2642.38,0.0001
"Feb 02, 2022",2642.04,2642.04,2642.04,2642.04,-0.0005
"Feb 01, 2022",2643.28,2643.28,2643.28,2643.28,-0.0016
"Jan 31, 2022",2647.41,2647.41,2647.41,2647.41,0.0007
"Jan 28, 2022",2645.59,2645.59,2645.59,2645.59,0.0002
"Jan 27, 2022",2645.07,2645.07,2645.07,2645.07,-0.0003
"Jan 25, 2022",2645.88,2645.88,2645.88,2645.88,0.0004
"Jan 24, 2022",2644.89,2644.89,2644.89,2644.89,0.0002
"Jan 21, 2022",2644.25,2644.25,2644.25,2644.25,0.0002
"Jan 20, 2022",2643.62,2643.62,2643.62,2643.62,0.0003
"Jan 19, 2022",2642.82,2642.82,2642.82,2642.82,0
"Jan 18, 2022",2642.79,2642.79,2642.79,2642.79,-0.0001
"Jan 17, 2022",2643.15,2643.15,2643.15,2643.15,0
"Jan 14, 2022",2643.08,2643.08,2643.08,2643.08,0.0001
"Jan 13, 2022",2642.76,2642.76,2642.76,2642.76,0.0005
"Jan 12, 2022",2641.48,2641.48,2641.48,2641.48,0.0003
"Jan 11, 2022",2640.64,2640.64,2640.64,2640.64,0.0004
"Jan 10, 2022",2639.63,2639.63,2639.63,2639.63,-0.0001
"Jan 07, 2022",2639.99,2639.99,2639.99,2639.99,0
"Jan 06, 2022",2639.88,2639.88,2639.88,2639.88,-0.0001
"Jan 05, 2022",2640.03,2640.03,2640.03,2640.03,0.0001
"Jan 04, 2022",2639.79,2639.79,2639.79,2639.79,-0.0005
"Jan 03, 2022",2641.17,2641.17,2641.17,2641.17,0.0002
"Dec 31, 2021",2640.53,2640.53,2640.53,2640.53,0.0003
"Dec 30, 2021",2639.69,2639.69,2639.69,2639.69,0.0001
"Dec 29, 2021",2639.32,2639.32,2639.32,2639.32,0.0001
"Dec 28, 2021",2639.09,2639.09,2639.09,2639.09,-0.0001
"Dec 27, 2021",2639.28,2639.28,2639.28,2639.28,0.0005
"Dec 24, 2021",2638.04,2638.04,2638.04,2638.04,0.0001
"Dec 23, 2021",2637.76,2637.76,2637.76,2637.76,0
"Dec 22, 2021",2637.67,2637.67,2637.67,2637.67,-0.0001
"Dec 21, 2021",2638.03,2638.03,2638.03,2638.03,-0.001
"Dec 20, 2021",2640.55,2640.55,2640.55,2640.55,-0.0004
"Dec 17, 2021",2641.62,2641.62,2641.62,2641.62,-0.0012
"Dec 16, 2021",2644.72,2644.72,2644.72,2644.72,0.0002
"Dec 15, 2021",2644.22,2644.22,2644.22,2644.22,0.0002
"Dec 14, 2021",2643.69,2643.69,2643.69,2643.69,0.0004
"Dec 13, 2021",2642.7,2642.7,2642.7,2642.7,0.0002
"Dec 10, 2021",2642.21,2642.21,2642.21,2642.21,0.0001
"Dec 09, 2021",2642.05,2642.05,2642.05,2642.05,0.0001
"Dec 08, 2021",2641.67,2641.67,2641.67,2641.67,0.0006
"Dec 07, 2021",2640.16,2640.16,2640.16,2640.16,0.0002
"Dec 06, 2021",2639.76,2639.76,2639.76,2639.76,0.0001
"Dec 03, 2021",2639.57,2639.57,2639.57,2639.57,0
"Dec 02, 2021",2639.6,2639.6,2639.6,2639.6,0.0003
"Dec 01, 2021",2638.88,2638.88,2638.88,2638.88,0
"Nov 30, 2021",2638.81,2638.81,2638.81,2638.81,0.0002
"Nov 29, 2021",2638.23,2638.23,2638.23,2638.23,0.0004
"Nov 26, 2021",2637.21,2637.21,2637.21,2637.21,0.0002
"Nov 25, 2021",2636.56,2636.56,2636.56,2636.56,0
"Nov 24, 2021",2636.51,2636.51,2636.51,2636.51,-0.0001
"Nov 23, 2021",2636.73,2636.73,2636.73,2636.73,0.0001
"Nov 22, 2021",2636.58,2636.58,2636.58,2636.58,0.0006
"Nov 18, 2021",2634.89,2634.89,2634.89,2634.89,0.0004
"Nov 17, 2021",2633.79,2633.79,2633.79,2633.79,0
"Nov 16, 2021",2633.76,2633.76,2633.76,2633.76,0.0001
"Nov 15, 2021",2633.5,2633.5,2633.5,2633.5,0.0002
"Nov 12, 2021",2632.85,2632.85,2632.85,2632.85,0.0001
"Nov 11, 2021",2632.67,2632.67,2632.67,2632.67,0.0001
"Nov 10, 2021",2632.5,2632.5,2632.5,2632.5,0.0001
"Nov 09, 2021",2632.21,2632.21,2632.21,2632.21,0.0003
"Nov 08, 2021",2631.43,2631.43,2631.43,2631.43,0.0015
"Nov 03, 2021",2627.54,2627.54,2627.54,2627.54,0.0003
"Nov 02, 2021",2626.84,2626.84,2626.84,2626.84,0
"Nov 01, 2021",2626.95,2626.95,2626.95,2626.95,0.0002
"Oct 29, 2021",2626.49,2626.49,2626.49,2626.49,-0.0002
"Oct 28, 2021",2626.97,2626.97,2626.97,2626.97,-0.0001
"Oct 27, 2021",2627.12,2627.12,2627.12,2627.12,0
"Oct 26, 2021",2627.08,2627.08,2627.08,2627.08,-0.0006
"Oct 25, 2021",2628.71,2628.71,2628.71,2628.71,0.0002
"Oct 22, 2021",2628.3,2628.3,2628.3,2628.3,0.0002
"Oct 21, 2021",2627.83,2627.83,2627.83,2627.83,0.0008
"Oct 20, 2021",2625.86,2625.86,2625.86,2625.86,-0.0003
"Oct 18, 2021",2626.75,2626.75,2626.75,2626.75,-0.0006
"Oct 14, 2021",2628.28,2628.28,2628.28,2628.28,0.0002
"Oct 13, 2021",2627.85,2627.85,2627.85,2627.85,0.0005
"Oct 12, 2021",2626.48,2626.48,2626.48,2626.48,0.0005
"Oct 11, 2021",2625.28,2625.28,2625.28,2625.28,0.0003
"Oct 08, 2021",2624.42,2624.42,2624.42,2624.42,0.0003
"Oct 07, 2021",2623.76,2623.76,2623.76,2623.76,0
"Oct 06, 2021",2623.84,2623.84,2623.84,2623.84,-0.0002
"Oct 05, 2021",2624.49,2624.49,2624.49,2624.49,-0.0004
"Oct 04, 2021",2625.52,2625.52,2625.52,2625.52,0.0004
"Oct 01, 2021",2624.47,2624.47,2624.47,2624.47,-0.0001
"Sep 30, 2021",2624.86,2624.86,2624.86,2624.86,0.0004
"Sep 29, 2021",2623.87,2623.87,2623.87,2623.87,-0.0006
"Sep 28, 2021",2625.5,2625.5,2625.5,2625.5,0.0005
"Sep 27, 2021",2624.25,2624.25,2624.25,2624.25,-0.0008
"Sep 24, 2021",2626.23,2626.23,2626.23,2626.23,-0.0013
"Sep 23, 2021",2629.59,2629.59,2629.59,2629.59,0.0001
"Sep 22, 2021",2629.3,2629.3,2629.3,2629.3,0.0002
"Sep 21, 2021",2628.74,2628.74,2628.74,2628.74,0
"Sep 20, 2021",2628.85,2628.85,2628.85,2628.85,0.0005
"Sep 17, 2021",2627.67,2627.67,2627.67,2627.67,0.0001
"Sep 16, 2021",2627.41,2627.41,2627.41,2627.41,0.0002
"Sep 15, 2021",2626.91,2626.91,2626.91,2626.91,0.0003
"Sep 14, 2021",2626.01,2626.01,2626.01,2626.01,0
"Sep 13, 2021",2625.95,2625.95,2625.95,2625.95,0.0003
"Sep 09, 2021",2625.07,2625.07,2625.07,2625.07,0.0001
"Sep 08, 2021",2624.69,2624.69,2624.69,2624.69,0.0001
"Sep 07, 2021",2624.5,2624.5,2624.5,2624.5,-0.0002
"Sep 06, 2021",2625.09,2625.09,2625.09,2625.09,0.0003
"Sep 03, 2021",2624.19,2624.19,2624.19,2624.19,0.0001
"Sep 02, 2021",2623.84,2623.84,2623.84,2623.84,0.0005
"Sep 01, 2021",2622.55,2622.55,2622.55,2622.55,0.0004
"Aug 31, 2021",2621.52,2621.52,2621.52,2621.52,0.0005
"Aug 30, 2021",2620.2,2620.2,2620.2,2620.2,0.001
"Aug 27, 2021",2617.63,2617.63,2617.63,2617.63,0.0001
"Aug 26, 2021",2617.27,2617.27,2617.27,2617.27,0.0002
"Aug 25, 2021",2616.82,2616.82,2616.82,2616.82,-0.0001
"Aug 24, 2021",2617.06,2617.06,2617.06,2617.06,-0.0001
"Aug 23, 2021",2617.19,2617.19,2617.19,2617.19,0.0002
"Aug 20, 2021",2616.58,2616.58,2616.58,2616.58,0.0003
"Aug 18, 2021",2615.77,2615.77,2615.77,2615.77,0.0006
"Aug 17, 2021",2614.2,2614.2,2614.2,2614.2,0.0009
"Aug 13, 2021",2611.88,2611.88,2611.88,2611.88,0.0008
"Aug 12, 2021",2609.87,2609.87,2609.87,2609.87,0.0005
"Aug 11, 2021",2608.5,2608.5,2608.5,2608.5,0
"Aug 10, 2021",2608.6,2608.6,2608.6,2608.6,0.0005
"Aug 09, 2021",2607.33,2607.33,2607.33,2607.33,0.0004
