date,price,open,high,low,vol,change
13-10-2008,117.04,106.81,118.74,104.68,22.05M,0.12
10-10-2008,104.54,103.78,109.56,97.29,45.39M,-0.05
08-10-2008,110.36,109.16,112.85,97.28,33.81M,-0.02
07-10-2008,112.63,122.74,124.72,109.07,28.64M,-0.06
06-10-2008,120.01,124.72,125.72,118.97,15.02M,-0.06
03-10-2008,127.29,127.72,130.58,126.05,13.95M,-0.02
01-10-2008,129.24,123.53,130.21,120.87,13.67M,0.05
30-09-2008,122.7,113.75,124.04,113.75,23.16M,0.02
29-09-2008,119.77,126.42,126.42,118.26,14.26M,-0.04
26-09-2008,124.18,129.71,129.71,122.75,13.09M,-0.04
25-09-2008,129.78,127.23,131.19,126.53,17.41M,0.02
24-09-2008,127.78,124.6,129.21,124.6,13.08M,0.04
23-09-2008,123.1,127.23,128.89,121.96,11.05M,-0.05
22-09-2008,129.78,130.31,131.91,127.94,11.38M,0.00
19-09-2008,129.67,125.75,130.11,125.24,18.16M,0.06
18-09-2008,122.1,117.63,123.13,108.46,27.11M,0.03
17-09-2008,118.47,124.49,124.52,116.27,16.69M,-0.03
16-09-2008,122.76,114.74,124.12,107.34,14.15M,0.02
15-09-2008,120.07,120.26,121.23,115.33,17.41M,-0.03
12-09-2008,124.19,125.24,127.19,122.03,13.03M,-0.01
11-09-2008,125.02,126.22,128.1,124.52,12.17M,-0.02
10-09-2008,127.29,128.69,128.69,124.72,16.70M,-0.01
09-09-2008,129.07,126.72,131.06,126.35,17.93M,-0.01
08-09-2008,129.82,129.11,131.61,128.81,17.11M,0.04
05-09-2008,124.57,127.22,127.72,123.72,23.97M,-0.04
04-09-2008,130.02,129.73,133.34,128.44,25.19M,-0.03
02-09-2008,133.67,129.95,138.29,128.22,28.56M,0.03
01-09-2008,129.54,124.67,130.71,124.67,7.21M,0.02
29-08-2008,127.39,123.35,129.18,123.35,12.44M,0.05
28-08-2008,121.04,122.73,124.49,119.53,13.57M,-0.02
27-08-2008,123.13,126.1,126.52,122.33,14.24M,-0.01
26-08-2008,124.85,119.73,125.92,119.31,14.30M,0.04
25-08-2008,120.5,120.74,123.9,120.16,7.53M,0.01
22-08-2008,119.13,115.74,119.53,114.84,10.06M,0.02
21-08-2008,116.38,122.93,123.72,115.79,6.94M,-0.06
20-08-2008,123.54,120.95,124.52,119.87,10.91M,0.03
19-08-2008,120.42,118.74,120.73,116.37,9.18M,0.00
18-08-2008,120.09,116.64,122.11,115.78,15.05M,0.02
14-08-2008,117.22,121.46,121.46,116.24,9.74M,-0.03
13-08-2008,121.46,123.85,124.72,120.96,12.16M,-0.04
12-08-2008,126.22,130.91,131.71,125.24,13.60M,-0.04
11-08-2008,130.86,132.68,133.28,128.81,26.63M,0.02
08-08-2008,128.03,124.72,129.21,122.33,21.24M,0.02
07-08-2008,124.99,119.73,126.22,119.73,18.90M,0.03
06-08-2008,121.37,120.93,129.04,119.5,33.27M,0.03
