date,price,open,high,low,vol,change
09-11-2022,255.8,255.5,263.4,254.55,40.39M,0.03
07-11-2022,249.55,247.3,251.35,246.75,10.51M,0.01
04-11-2022,246.05,246.7,248.7,245.5,5.51M,0.00
03-11-2022,246.2,244,247.6,241,6.75M,0.00
02-11-2022,245.8,245.65,249.6,242.15,14.97M,0.00
01-11-2022,245.65,247,247,243.25,8.81M,0.00
31-10-2022,245.95,246,247.5,243.55,8.37M,0.01
28-10-2022,244.4,242,247.8,240.55,14.08M,0.01
27-10-2022,240.9,240.95,241.6,239,6.42M,0.00
25-10-2022,239.95,240.5,240.95,237.95,6.98M,0.00
24-10-2022,240.5,240.9,241.7,240,730.14K,0.01
21-10-2022,238.7,241,241.35,238.05,3.29M,-0.01
20-10-2022,241,237,242.5,233.6,10.76M,0.01
19-10-2022,238.2,242,243,237,13.89M,-0.01
18-10-2022,241.7,238.5,242.15,236.85,6.67M,0.02
17-10-2022,238,236.35,238.55,232.9,5.62M,0.01
14-10-2022,236.35,238.95,238.95,235.35,6.24M,0.01
13-10-2022,234.55,232.2,235.6,231.1,7.23M,0.01
12-10-2022,232.1,225.55,233,225.55,9.26M,0.03
11-10-2022,225.45,230.95,230.95,224,19.15M,-0.02
10-10-2022,229.85,227,232,226.6,10.85M,0.00
07-10-2022,229.7,233,233.55,227.8,14.64M,-0.02
06-10-2022,233.5,225,234.1,224.65,12.80M,0.05
04-10-2022,223.25,218.3,224,218.1,10.86M,0.04
03-10-2022,214.95,213,218,212.3,11.40M,0.01
30-09-2022,212.25,213,216,207.85,12.88M,-0.01
29-09-2022,213.9,211.8,215.15,210.65,8.96M,0.01
28-09-2022,210.8,211.7,213.4,208.9,6.13M,-0.01
27-09-2022,213.9,216,219.7,212.75,5.80M,-0.01
26-09-2022,215.5,221,222.1,212.5,7.83M,-0.03
23-09-2022,222.85,225,226.95,221,5.50M,-0.02
22-09-2022,227.05,229.95,231.3,225.5,7.68M,-0.02
21-09-2022,231.55,229.85,232.7,227.15,5.67M,0.01
20-09-2022,229.85,231,233.8,228.7,6.89M,0.00
19-09-2022,229.9,230.95,232.65,228.7,4.01M,-0.01
16-09-2022,231.05,233.85,234,229.55,8.75M,-0.01
15-09-2022,234.25,233.1,234.95,232.25,5.39M,0.01
14-09-2022,231.95,230.15,233.8,229.55,7.71M,0.00
13-09-2022,231.3,232.7,235.3,230.65,9.88M,0.00
12-09-2022,231.5,238.5,239.05,228,19.05M,-0.03
09-09-2022,237.6,237.5,238,233.35,8.44M,0.00
08-09-2022,236.45,240.5,240.5,235.05,7.68M,-0.01
07-09-2022,238.85,232.95,239.3,232.35,12.75M,0.03
06-09-2022,232.7,232.7,234.65,231,5.31M,0.00
05-09-2022,231.6,230,232.35,228.5,4.91M,0.01
02-09-2022,229.3,231,232.45,228.2,4.60M,0.00
01-09-2022,230.3,234.35,236.8,229.55,9.68M,-0.02
30-08-2022,234.8,231.8,235.5,230.85,12.99M,0.02
29-08-2022,230.6,221.4,231.6,221.4,8.76M,0.00
26-08-2022,229.95,227.7,232,226.5,12.67M,0.02
25-08-2022,224.9,223.7,227.15,223.7,13.08M,0.01
24-08-2022,223.65,222.75,226,222,10.83M,0.00
23-08-2022,222.85,217,223.7,216.6,9.34M,0.02
22-08-2022,218.3,215.6,220.95,214.05,10.39M,0.01
19-08-2022,217.15,221.65,221.65,215.7,8.78M,-0.02
18-08-2022,221.75,221.45,222.65,220.6,4.23M,0.00
17-08-2022,221.45,223.5,223.5,220.15,6.12M,-0.01
16-08-2022,222.9,224.4,224.4,220.45,7.84M,0.01
12-08-2022,221.65,219,222.25,217.75,8.86M,0.01
11-08-2022,218.6,226,226.8,218,28.80M,-0.01
10-08-2022,219.85,215.85,220.45,215.45,14.27M,0.02
08-08-2022,215.4,209.5,216.15,207.05,16.36M,0.03
05-08-2022,208.45,207.5,210.25,205.75,32.00M,0.01
04-08-2022,207.15,212.15,213.45,206.15,8.06M,-0.02
03-08-2022,212.1,214.95,214.95,208.8,9.95M,-0.01
02-08-2022,215.25,213,217.25,211.65,12.62M,0.01
01-08-2022,212.75,212.5,213.7,209.8,7.85M,0.01
29-07-2022,211.25,203.6,212.45,203.25,12.48M,0.04
28-07-2022,202.85,204,205,201.35,5.10M,0.00
27-07-2022,203.45,202.4,204.7,201.8,7.34M,0.01
26-07-2022,202.3,201.45,203.3,199.55,12.85M,0.01
25-07-2022,200.9,197.5,201.7,194.6,10.21M,0.02
22-07-2022,197.1,198.6,199.85,196.8,4.84M,-0.01
21-07-2022,198.6,197.85,199.45,196.3,6.17M,0.00
20-07-2022,197.85,199.6,200.4,197.4,5.52M,0.00
19-07-2022,198.25,194.95,199.6,194,9.91M,0.01
18-07-2022,195.6,194.5,196.9,193.85,7.60M,0.01
15-07-2022,193.4,193,193.9,189.4,5.61M,0.01
14-07-2022,192,194,195.45,190.3,6.80M,-0.01
13-07-2022,193.45,193.9,196.15,193,7.84M,0.00
12-07-2022,193.9,192.8,195.3,192.1,6.94M,0.00
11-07-2022,193.35,188.95,194.3,187.8,9.05M,0.02
08-07-2022,189.8,187.05,191.9,187.05,14.65M,0.02
07-07-2022,186,183.95,186.6,181.45,6.32M,0.02
06-07-2022,181.7,182.5,182.85,178,9.37M,0.00
05-07-2022,182.45,183,185.2,181.75,5.31M,0.00
04-07-2022,182.05,183.25,185.7,179.1,8.78M,-0.01
01-07-2022,183.25,185,186.15,176.6,17.25M,-0.01
30-06-2022,185.6,188.1,189,182.55,8.69M,-0.02
29-06-2022,188.75,186,190.25,183.65,16.86M,0.01
28-06-2022,186.4,181.15,186.95,180.75,9.84M,0.02
27-06-2022,182.05,180,182.8,177.45,7.06M,0.03
24-06-2022,176.55,178.65,180.4,174.8,8.17M,0.00
23-06-2022,177.15,180.3,182,174.85,9.30M,-0.01
22-06-2022,179.35,184.75,184.75,179,6.56M,-0.03
21-06-2022,184.8,178,185.65,178,7.56M,0.05
20-06-2022,176.85,181.9,181.9,174.75,23.28M,-0.03
17-06-2022,182.65,180,184.85,179.4,15.22M,0.02
16-06-2022,179.9,191.55,192.8,179.1,14.49M,-0.05
15-06-2022,190.05,192.15,193.85,189.15,5.81M,-0.01
14-06-2022,192.2,189.1,194.5,189.1,6.73M,0.01
13-06-2022,191.05,196.65,197.4,189.55,8.52M,-0.04
10-06-2022,198.5,197.35,199.3,196.25,6.74M,0.00
09-06-2022,198.75,196.95,200.4,196.5,10.56M,0.01
08-06-2022,197.65,198,201.95,196.5,13.06M,0.00
07-06-2022,197.55,193.65,199.95,193.6,12.96M,0.01
06-06-2022,194.85,196.5,196.8,193.2,22.02M,-0.01
03-06-2022,197,200,201,196.2,25.34M,-0.01
02-06-2022,198.2,196.5,199.2,194.3,17.65M,0.01
01-06-2022,196.05,194.5,197.3,193.2,30.87M,0.02
31-05-2022,192.9,186,195.25,185.2,21.38M,0.03
30-05-2022,187.2,184,187.9,182.55,10.58M,0.03
27-05-2022,181.85,184.5,188.65,180.5,16.41M,-0.01
26-05-2022,183.25,183.95,186,177.75,23.14M,0.01
25-05-2022,180.7,184.2,185.55,180.05,7.93M,-0.01
24-05-2022,182.35,183.45,186.75,181.2,8.57M,-0.01
23-05-2022,184.3,185.95,186.75,182.4,7.79M,-0.01
20-05-2022,185.95,184.5,186.85,183.55,6.37M,0.03
19-05-2022,181.2,181.1,183.5,180.7,9.40M,-0.02
18-05-2022,185.55,186.35,187.5,181.8,15.43M,0.01
17-05-2022,184.55,173.4,185,173.15,28.09M,0.07
16-05-2022,171.7,169.5,172.8,167.85,7.44M,0.02
13-05-2022,168.7,170,173.65,168,11.59M,0.01
12-05-2022,167.05,167.85,170.2,164.65,10.41M,-0.02
11-05-2022,169.85,171.7,173.7,165.25,20.64M,0.00
10-05-2022,170.05,182,183.85,168.8,19.97M,-0.07
